local_row_0based,local_col_0based,global_line_1based,global_col_1based,count_uint16,quality_code,radiance_w_m2_sr_um,brightness_temp_c,is_projected_hko_pixel
534,2769,2735,2770,1656,0,8.983505,21.21857,False
534,2770,2735,2771,1745,0,8.649532,18.884333,False
534,2771,2735,2772,1815,0,8.386857,17.010778,False
534,2772,2735,2773,1764,0,8.578235,18.379162,False
534,2773,2735,2774,1667,0,8.942227,20.932867,False
534,2774,2735,2775,1613,0,9.144863,22.328081,False
534,2775,2735,2776,1625,0,9.0998335,22.019613,False
534,2776,2735,2777,1615,0,9.137359,22.276731,False
534,2777,2735,2778,1580,0,9.268696,23.171804,False
534,2778,2735,2779,1564,0,9.328736,23.57851,False
534,2779,2735,2780,1570,0,9.306221,23.426176,False
534,2780,2735,2781,1567,0,9.317478,23.502369,False
534,2781,2735,2782,1567,0,9.317478,23.502369,False
534,2782,2735,2783,1564,0,9.328736,23.57851,False
535,2762,2736,2763,1625,0,9.0998335,22.019613,False
535,2763,2736,2764,1604,0,9.178636,22.558847,False
535,2764,2736,2765,1582,0,9.261191,23.12086,False
535,2765,2736,2766,1587,0,9.242429,22.993387,False
535,2766,2736,2767,1594,0,9.216161,22.814672,False
535,2767,2736,2768,1581,0,9.264943,23.146336,False
535,2768,2736,2769,1577,0,9.279954,23.248178,False
535,2769,2736,2770,1579,0,9.272449,23.19727,False
535,2770,2736,2771,1596,0,9.208656,22.763556,False
535,2771,2736,2772,1677,0,8.904703,20.672462,False
535,2772,2736,2773,1764,0,8.578235,18.379162,False
535,2773,2736,2774,1701,0,8.814643,20.044847,False
535,2774,2736,2775,1614,0,9.14111,22.302408,False
535,2775,2736,2776,1608,0,9.163626,22.456347,False
535,2776,2736,2777,1595,0,9.212408,22.789118,False
535,2777,2736,2778,1594,0,9.216161,22.814672,False
535,2778,2736,2779,1576,0,9.283706,23.273624,False
535,2779,2736,2780,1571,0,9.302468,23.400764,False
535,2780,2736,2781,1567,0,9.317478,23.502369,False
535,2781,2736,2782,1564,0,9.328736,23.57851,False
535,2782,2736,2783,1561,0,9.3399935,23.654596,False
536,2762,2737,2763,1626,0,9.096081,21.993868,False
536,2763,2737,2764,1595,0,9.212408,22.789118,False
