method,family,split,row_count,rps,rps_delta_vs_b4,relative_rps_gain_vs_b4,nll,brier,crps,ece,mce,entropy
K2_B4_monotone_cdf_projected,calibration,fold2__t_minus_1_2100_hkt,977,0.042607027025613635,,,1.0463657242212387,0.04632642064309743,0.4260702702561363,0.02225035305838335,0.23477692359019908,1.037185712659943
K1_B4_power_calibrated,calibration,fold2__t_minus_1_2100_hkt,977,0.042634623102602895,,,1.046379828311355,0.04633008917025467,0.4263462310260289,0.0280406214681251,0.10271988989814862,1.055926739120209
K0_B4_identity,calibration,fold3__t_minus_1_2100_hkt,1007,0.04382512676296191,,,1.0986931363901193,0.04854780179193531,0.43825126762961913,0.026433352055561084,0.09114731407981547,1.0820120595603022
K2_B4_monotone_cdf_projected,calibration,fold3__t_minus_1_2100_hkt,1007,0.04382512676296191,,,1.0986931363901196,0.04854780179193531,0.43825126762961913,0.026433352055561143,0.09114731407981558,1.082012059560303
K1_B4_power_calibrated,calibration,fold3__t_minus_1_2100_hkt,1007,0.04385346931749413,,,1.098380247135875,0.04854780291783838,0.4385346931749412,0.0353121450684662,0.2518933216103183,1.102662348761788
K0_B4_identity,calibration,fold4__t_minus_1_2100_hkt,679,0.04618244718873422,,,1.1624588725150595,0.051078702918331144,0.46182447188734216,0.024456119452709767,0.13175943837486792,1.106352488911574
K2_B4_monotone_cdf_projected,calibration,fold4__t_minus_1_2100_hkt,679,0.04618244718873422,,,1.1624588725150629,0.051078702918331144,0.46182447188734216,0.02445611945270971,0.1317594383748678,1.1063524889115743
K1_B4_power_calibrated,calibration,fold4__t_minus_1_2100_hkt,679,0.04620246549828582,,,1.1602014029701555,0.05104803895404153,0.4620246549828583,0.019658739067029907,0.11838191262288444,1.1280548177024525
K0_B4_identity,calibration,presealed_2022_2023__t_minus_1_2100_hkt,667,0.04361272594760057,,,1.0746377901242534,0.04817328534748751,0.4361272594760056,0.022187966310251377,0.2762651018106186,1.056697391550813
K2_B4_monotone_cdf_projected,calibration,presealed_2022_2023__t_minus_1_2100_hkt,667,0.04361272594760057,,,1.0746377901242534,0.04817328534748751,0.43612725947600567,0.022187966310251467,0.2762651018106186,1.0566973915508138
K1_B4_power_calibrated,calibration,presealed_2022_2023__t_minus_1_2100_hkt,667,0.0436327765830086,,,1.0742482198281835,0.04814844035765117,0.4363277658300859,0.02499284567131323,0.16184894834667363,1.076801946578349
K1_B4_power_calibrated,calibration,sealed_2024_2026_05__t_minus_1_2100_hkt,767,0.04588988988410454,,,1.1226549335887321,0.049976413496988434,0.4588988988410454,0.02755947846516469,0.14721879506146596,1.1151318846632523
K0_B4_identity,calibration,sealed_2024_2026_05__t_minus_1_2100_hkt,767,0.04591422455737547,,,1.1235588058072181,0.05003484952694925,0.45914224557375477,0.03139654387550518,0.15005849878202981,1.0956433102206657
K2_B4_monotone_cdf_projected,calibration,sealed_2024_2026_05__t_minus_1_2100_hkt,767,0.04591422455737547,,,1.1235588058072183,0.05003484952694925,0.45914224557375477,0.03139654387550522,0.15005849878202981,1.0956433102206664
