split,method,baseline_method,row_count,mean_delta_rps,p05_delta_rps,p50_delta_rps,p95_delta_rps
fold4,B2_month_residual_pmf,B4_hierarchical_residual_pmf,731,0.00036808569350676204,1.792589973330408e-05,0.00035450852305201133,0.000694663806478974
fold4,B3_forecast_level_residual_pmf,B4_hierarchical_residual_pmf,731,0.0003401599633779624,-2.4381755837613037e-05,0.00034830791373774775,0.0006865851298289577
fold4,B4_hierarchical_residual_pmf,B4_hierarchical_residual_pmf,731,0.0,0.0,0.0,0.0
fold4,B5_kernel_analog_pmf,B4_hierarchical_residual_pmf,731,2.3495542225514547e-05,-0.0003708936542051646,2.321725863251023e-05,0.0003917311762259816
fold4,B6_month_climatology_diagnostic,B4_hierarchical_residual_pmf,731,0.048689526244346804,0.04346311493992631,0.04858132752292545,0.05407139090697252
fold4,C1_multinomial_ridge,B4_hierarchical_residual_pmf,731,0.0008370743024735697,9.57285699950888e-05,0.0008316151111237881,0.0015241574162457893
fold4,C2_ordinal_cdf_logistic,B4_hierarchical_residual_pmf,731,0.001151299035153665,0.00031248140732496844,0.0011649050717186214,0.0020013059611700052
fold4,K0_B4_identity,B4_hierarchical_residual_pmf,731,0.0,0.0,0.0,0.0
fold4,K1_B4_power_calibrated,B4_hierarchical_residual_pmf,731,2.104975497199958e-05,-3.752257647963095e-05,2.0801346653772507e-05,8.037094348143227e-05
fold4,K2_B4_monotone_cdf_projected,B4_hierarchical_residual_pmf,731,9.436895709313831e-19,0.0,0.0,6.938893903907228e-18
fold4,P1_normal_mos,B4_hierarchical_residual_pmf,731,0.00041389325445297516,-8.385274389117666e-06,0.00040730838827436264,0.0008311507884519065
fold4,P2_student_t_mos,B4_hierarchical_residual_pmf,731,0.00047932151076950823,4.156148430723914e-06,0.00048515263197796907,0.0009476828209026327
fold4,S1_conservative_simplex_stack,B4_hierarchical_residual_pmf,731,-3.811304520925689e-05,-8.514739372999166e-05,-3.753173450262229e-05,1.0229259548346804e-05
presealed_2022_2023,B0_climatology,B4_hierarchical_residual_pmf,730,0.16175178715086366,0.154250159261335,0.16170600749123015,0.1691812127539536
presealed_2022_2023,B1_global_residual_pmf,B4_hierarchical_residual_pmf,730,-0.0003223356364519362,-0.0007554706173485088,-0.00031996383255179436,0.00014829562076538541
presealed_2022_2023,B2_month_residual_pmf,B4_hierarchical_residual_pmf,730,-0.000359268335482321,-0.0007042632094072877,-0.0003626177176474579,1.267005796369547e-05
presealed_2022_2023,B3_forecast_level_residual_pmf,B4_hierarchical_residual_pmf,730,-0.00011259335148589343,-0.00047863756045717385,-0.00010746085844197395,0.0002371813611723745
presealed_2022_2023,B4_hierarchical_residual_pmf,B4_hierarchical_residual_pmf,730,0.0,0.0,0.0,0.0
presealed_2022_2023,B5_kernel_analog_pmf,B4_hierarchical_residual_pmf,730,-0.0003261672337394516,-0.0007262755474427733,-0.0003260521756652743,6.271842021982883e-05
presealed_2022_2023,B6_month_climatology_diagnostic,B4_hierarchical_residual_pmf,730,0.05419974477141186,0.04857473169825252,0.05423628352326465,0.05994651717728449
presealed_2022_2023,C1_multinomial_ridge,B4_hierarchical_residual_pmf,730,0.0008048329660283188,4.169268568223405e-05,0.0008227539166524023,0.0015051767358519768
presealed_2022_2023,C2_ordinal_cdf_logistic,B4_hierarchical_residual_pmf,730,0.001374592181552334,0.0004955798445983582,0.001372619897653405,0.0022433056385126847
presealed_2022_2023,K0_B4_identity,B4_hierarchical_residual_pmf,730,0.0,0.0,0.0,0.0
presealed_2022_2023,K1_B4_power_calibrated,B4_hierarchical_residual_pmf,730,1.2421903495793709e-05,-4.7144097289625664e-05,1.3215797518777161e-05,7.115163630657637e-05
presealed_2022_2023,K2_B4_monotone_cdf_projected,B4_hierarchical_residual_pmf,730,-1.249000902703301e-19,-6.938893903907228e-18,0.0,6.938893903907228e-18
presealed_2022_2023,P1_normal_mos,B4_hierarchical_residual_pmf,730,-9.33193358094536e-05,-0.0005616921981776282,-0.00011047511018204281,0.00043827290204749423
