source,cycle,lead,object_length,selected_range_count,selected_bytes,single_span_bytes,merged_count_gap_0,merged_bytes_gap_0,merged_count_gap_64000,merged_bytes_gap_64000,merged_count_gap_256000,merged_bytes_gap_256000,merged_count_gap_1000000,merged_bytes_gap_1000000,merged_count_gap_5000000,merged_bytes_gap_5000000,merged_count_gap_25000000,merged_bytes_gap_25000000
gfs,12,39,533941304,17,12068623,460879782,9,12068623,9,12068623,9,12068623,8,12632246,5,21847009,2,52511202
gfs,12,42,531891108,17,12227861,460389023,9,12227861,9,12227861,9,12227861,8,12788252,5,22043176,2,53753566
gfs,12,45,526709567,17,12034724,457496343,9,12034724,9,12034724,9,12034724,8,12599587,5,21991162,2,52715077
gfs,12,48,528098313,17,12300551,458690697,9,12300551,9,12300551,9,12300551,8,12866629,5,22134054,2,53917068
gfs,18,0,512035200,11,8466861,436846018,7,8466861,7,8466861,7,8466861,6,9035198,4,14055770,2,24696503
gfs,18,3,541239219,17,11832008,463546343,9,11832008,9,11832008,9,11832008,8,12399916,6,16979517,2,53348198
gfs,18,6,540968596,17,12091953,463224968,9,12091953,9,12091953,9,12091953,8,12651027,6,17188844,2,54716369
gfs,18,9,543112205,17,11891860,465279395,9,11891860,9,11891860,9,11891860,8,12451308,6,16987096,2,53393592
gfs,18,12,538843758,17,12137873,461961947,9,12137873,9,12137873,9,12137873,8,12698155,6,17168011,2,54792885
gfs,18,15,537929385,17,11961812,462008562,9,11961812,9,11961812,9,11961812,8,12526543,6,16937770,2,53562317
gfs,18,18,537806117,17,12195924,461829723,9,12195924,9,12195924,9,12195924,8,12764919,5,22175409,2,54411686
gfs,18,21,537606350,17,12069527,462634059,9,12069527,9,12069527,9,12069527,8,12642200,5,22219233,2,53049996
gfs,18,24,536058687,17,12322870,464412945,9,12322870,9,12322870,9,12322870,8,12895357,5,22482093,2,54449542
gfs,18,27,533235497,17,12121597,464359214,9,12121597,9,12121597,9,12121597,8,12688493,5,22009809,2,52812475
gfs,18,30,531075736,17,12267966,459805115,9,12267966,9,12267966,9,12267966,8,12829879,5,22213176,2,53995510
gfs,18,33,532764801,17,12041167,459568758,9,12041167,9,12041167,9,12041167,8,12605048,5,21830104,2,52417088
gfs,18,36,533878668,17,12211903,462246827,9,12211903,9,12211903,9,12211903,8,12775855,5,22018815,2,53677991
gfs,18,39,524682042,17,11235418,456886153,9,11235418,9,11235418,9,11235418,8,11804618,5,21106001,2,51189820
gfs,18,42,527433459,17,12278029,459682121,9,12278029,9,12278029,9,12278029,8,12848077,5,22117204,2,53836605
gfs,18,45,527063238,17,12111823,459601014,9,12111823,9,12111823,9,12111823,8,12684005,5,21945983,2,51958824
gfs,18,48,534107258,17,12344981,464329999,9,12344981,9,12344981,9,12344981,8,12913388,5,22194680,2,53915937
