bin,lo,hi,count,confidence,accuracy,abs_gap,validation_split,method
3,0.30000000000000004,0.4,564,0.33712342628019526,0.38120567375886527,0.04408224747867001,fold2,B2_month_residual_pmf
4,0.4,0.5,38,0.4426906591735934,0.5263157894736842,0.08362513030009078,fold2,B2_month_residual_pmf
5,0.5,0.6000000000000001,11,0.5400175861695794,0.18181818181818182,0.3581994043513976,fold2,B2_month_residual_pmf
6,0.6000000000000001,0.7000000000000001,16,0.691378758275264,0.625,0.06637875827526396,fold2,B2_month_residual_pmf
7,0.7000000000000001,0.8,20,0.7803974640608287,0.7,0.0803974640608287,fold2,B2_month_residual_pmf
8,0.8,0.9,27,0.8635484211439667,0.8518518518518519,0.011696569292114822,fold2,B2_month_residual_pmf
9,0.9,1.0,354,0.9915930370620462,0.9943502824858758,0.002757245423829602,fold2,B2_month_residual_pmf
0,0.0,0.1,0,,,,fold2,B3_forecast_level_residual_pmf
1,0.1,0.2,0,,,,fold2,B3_forecast_level_residual_pmf
2,0.2,0.30000000000000004,0,,,,fold2,B3_forecast_level_residual_pmf
3,0.30000000000000004,0.4,425,0.31721768827343244,0.2964705882352941,0.020747100038138344,fold2,B3_forecast_level_residual_pmf
4,0.4,0.5,253,0.4188820665754536,0.41106719367588934,0.007814872899564285,fold2,B3_forecast_level_residual_pmf
5,0.5,0.6000000000000001,0,,,,fold2,B3_forecast_level_residual_pmf
6,0.6000000000000001,0.7000000000000001,36,0.6826501223422335,0.6666666666666666,0.015983455675566915,fold2,B3_forecast_level_residual_pmf
7,0.7000000000000001,0.8,0,,,,fold2,B3_forecast_level_residual_pmf
8,0.8,0.9,2,0.8415182798266665,1.0,0.1584817201733335,fold2,B3_forecast_level_residual_pmf
9,0.9,1.0,379,0.9848944455568447,0.9841688654353562,0.0007255801214884894,fold2,B3_forecast_level_residual_pmf
0,0.0,0.1,0,,,,fold2,B4_hierarchical_residual_pmf
1,0.1,0.2,0,,,,fold2,B4_hierarchical_residual_pmf
2,0.2,0.30000000000000004,106,0.2754521443108302,0.19811320754716982,0.07733893676366038,fold2,B4_hierarchical_residual_pmf
3,0.30000000000000004,0.4,426,0.348718402107483,0.3779342723004695,0.029215870192986493,fold2,B4_hierarchical_residual_pmf
4,0.4,0.5,128,0.4347627577559595,0.4140625,0.020700257755959517,fold2,B4_hierarchical_residual_pmf
5,0.5,0.6000000000000001,18,0.5065759694124952,0.3888888888888889,0.11768708052360627,fold2,B4_hierarchical_residual_pmf
6,0.6000000000000001,0.7000000000000001,16,0.635664668966531,0.625,0.010664668966530955,fold2,B4_hierarchical_residual_pmf
