official_max_bin,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
28,B0_climatology,baseline,331,0.12415506118562179,2.6811563707541097,0.09618558743280657,1.241550611856218,0.3912834143625412,0.3985031948605818,2.0095660169995244
28,B6_month_climatology_diagnostic,diagnostic,331,0.13802965466948386,2.369549964527309,0.08979553800925798,1.3802965466948387,0.278548839788814,0.964105193758699,1.802494968212185
29,E2_student_t_emos,emos,405,0.06915003034423017,1.6706504956871633,0.06988296276992244,0.6915003034423017,0.039549700979917314,0.09018027796488665,1.6095296493784943
29,P1_normal_mos,mos,405,0.06926301542807102,1.6652282890306556,0.06998724208279031,0.6926301542807102,0.03859842810053836,0.05133907703518431,1.6470148567322334
29,P2_student_t_mos,mos,405,0.0693326712757313,1.6634587436107857,0.07001738455613056,0.693326712757313,0.04632348878489017,0.05585350497375674,1.7258169765802842
29,B5_kernel_analog_pmf,analog_pmf,405,0.06949136880206312,1.8140180061117182,0.07037172149006803,0.6949136880206312,0.0446571761193323,0.11935581996057448,1.5940496475511097
29,H1_b4_challenger_linear_pool,hybrid_pool,405,0.06949140339973242,1.6704023035602449,0.06989129468476485,0.6949140339973242,0.028010041296133558,0.06835415013959228,1.600224447992725
29,T1_time_decay_b4,time_decay_residual_pmf,405,0.06952486129531552,1.6558597727415647,0.06990721251491634,0.6952486129531552,0.005274759413564598,0.07928653465731095,1.6267394497074543
29,B1_global_residual_pmf,residual_pmf,405,0.0695323489624192,1.6642950893076678,0.06987455366383986,0.695323489624192,0.006047128541964541,0.0060471285419645415,1.6473012450182627
29,C2_ordinal_cdf_logistic,direct_classifier,405,0.06964292600189577,1.7200921968395724,0.07074929671129367,0.6964292600189577,0.04422362419293374,0.4027085648486887,1.7235560131062806
29,S1_conservative_simplex_stack,stack,405,0.06968635167098487,1.6721022808310104,0.07007773004061954,0.6968635167098487,0.0433906758187164,0.04969186831511119,1.6107291612797225
29,B3_forecast_level_residual_pmf,residual_pmf,405,0.06969444179666283,1.6808028475049226,0.07011255163401682,0.6969444179666283,0.02180804817684801,0.021808048176848005,1.6316777600924288
29,B4_hierarchical_residual_pmf,residual_pmf,405,0.0698169998491987,1.6922088438081961,0.07016831803667728,0.6981699984919869,0.0453975157673103,0.05249919571918038,1.5916676602950834
29,K0_B4_identity,calibration,405,0.0698169998491987,1.6922088438081961,0.07016831803667728,0.6981699984919869,0.0453975157673103,0.05249919571918038,1.5916676602950834
29,K2_B4_monotone_cdf_projected,calibration,405,0.0698169998491987,1.692208843808201,0.07016831803667728,0.6981699984919869,0.0453975157673103,0.05249919571918038,1.5916676602950828
29,K1_B4_power_calibrated,calibration,405,0.06982481301681559,1.6878063586576395,0.07014955842302766,0.6982481301681558,0.037421757189398094,0.04892365336099325,1.616378511771638
29,C1_multinomial_ridge,direct_classifier,405,0.06999713926002994,1.7083822638420518,0.07117836182824445,0.6999713926002993,0.0443179801178001,0.0666756031377389,1.681877789038841
29,B2_month_residual_pmf,residual_pmf,405,0.07001456650001715,1.6968990695415622,0.06992673255068826,0.7001456650001717,0.015406532396362247,0.01753091171411658,1.5977258889708867
29,E1_normal_emos,emos,405,0.07034963189771799,1.800790716018496,0.070805030397882,0.70349631897718,0.06161712438557623,0.10522942456501161,1.3096609934631782
29,Q2_threshold_cdf_gb,threshold_cdf,405,0.07144855514677569,1.7614625068817493,0.07118683733901696,0.7144855514677569,0.012663758404615836,0.41124617332083585,1.8153660678608206
29,G1_gamlss_tree_location_scale,gamlss_tree,405,0.07148377754471337,1.9203239721258145,0.07177661601830805,0.7148377754471339,0.09881226579126973,0.1012240435886721,1.2243472142698948
29,E3_two_piece_normal_emos,emos,405,0.07268785932598487,2.129794308066767,0.07370734561796155,0.7268785932598488,0.13234307841108575,0.14049683633066262,1.0929936966395593
29,Q1_quantile_cdf_gb,quantile_cdf,405,0.07844255984115805,1.83194271608344,0.07242712670423396,0.7844255984115805,0.06725412772721039,0.5932472401322472,1.979998522756131
