target_month,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
3,C2_ordinal_cdf_logistic,direct_classifier,496,0.02831453024721446,0.7030794645675713,0.03099187649769237,0.2831453024721446,0.02159077580004897,0.14657333833422348,0.6887843309286252
3,B6_month_climatology_diagnostic,diagnostic,496,0.06313563600820161,1.21324521066139,0.047904193510234894,0.6313563600820161,0.10610722406751527,0.10610722406751527,0.8047451753345464
3,B0_climatology,baseline,496,0.13299282291615133,1.5535135204811783,0.056589179424461115,1.329928229161513,0.2802551566106583,0.3777007872658969,2.0101791709446597
4,B5_kernel_analog_pmf,analog_pmf,480,0.05824752633472829,1.449120569581305,0.05874124625262352,0.5824752633472828,0.028746127607187675,0.08491352072992142,1.3551925670582357
4,C2_ordinal_cdf_logistic,direct_classifier,480,0.05833053861272502,1.3899035121066403,0.05928267304191004,0.5833053861272502,0.059152089344567185,0.5389563443988657,1.3603602045191792
4,C1_multinomial_ridge,direct_classifier,480,0.05844721996321604,1.368782723100619,0.05944596461179261,0.5844721996321603,0.05557602926082538,0.23809883100370405,1.3166107372177374
4,S1_conservative_simplex_stack,stack,480,0.05893756715673663,1.366932163975441,0.058986960292749704,0.5893756715673663,0.033760109549154926,0.1492110178845807,1.41020413445799
4,B3_forecast_level_residual_pmf,residual_pmf,480,0.058983249437691114,1.3669876608457652,0.05920705041004495,0.5898324943769111,0.05801781758700169,0.2563438457825995,1.2837632560198395
4,B4_hierarchical_residual_pmf,residual_pmf,480,0.05908809434655389,1.3717295303507153,0.05906547560622293,0.5908809434655389,0.037639761644508864,0.12064944535019978,1.415655553386935
4,K0_B4_identity,calibration,480,0.05908809434655389,1.3717295303507153,0.05906547560622293,0.5908809434655389,0.037639761644508864,0.12064944535019978,1.415655553386935
4,K2_B4_monotone_cdf_projected,calibration,480,0.05908809434655389,1.3717295303507153,0.05906547560622293,0.5908809434655389,0.03763976164450882,0.12064944535019978,1.415655553386936
4,K1_B4_power_calibrated,calibration,480,0.059138272969293984,1.3746236607107314,0.059058710993662535,0.59138272969294,0.03199013819359886,0.20208606900645343,1.4432933157049264
4,P2_student_t_mos,mos,480,0.05926004669761523,1.371618660085527,0.059341316295700136,0.5926004669761524,0.021900668249730387,0.3038919687509998,1.3252033891283024
4,P1_normal_mos,mos,480,0.05939825012426401,1.3793317207386322,0.0594325999652556,0.5939825012426402,0.027652940019001405,0.17985320502556046,1.2667284167586492
4,B2_month_residual_pmf,residual_pmf,480,0.05991250931234308,1.3909465293959353,0.05949331352506911,0.5991250931234309,0.02103235369027267,0.23847350398388156,1.4608003334050323
4,B1_global_residual_pmf,residual_pmf,480,0.06013823109916516,1.392446613276437,0.060006950772178505,0.6013823109916516,0.07469673619861757,0.21449741052215865,1.2633497040528008
4,B6_month_climatology_diagnostic,diagnostic,480,0.12864189957039343,2.0087420643868517,0.07700877511716898,1.2864189957039343,0.115469226723727,0.14855371258773764,1.7159631004615894
4,B0_climatology,baseline,480,0.13467555384801994,2.2006094913382115,0.07918080283592327,1.3467555384801992,0.10341419822805137,0.15071564655129976,2.01017917094466
5,B5_kernel_analog_pmf,analog_pmf,496,0.06941538898437807,1.693035989243531,0.06748906328635543,0.6941538898437806,0.026538748546391194,0.15377481100085832,1.5301532677654728
5,S1_conservative_simplex_stack,stack,496,0.07052795669152073,1.6280553071050947,0.06844038377726024,0.7052795669152074,0.023746742738554517,0.19397537955281274,1.568696825252914
5,K1_B4_power_calibrated,calibration,496,0.0705920140823792,1.6317566392261467,0.06849416209872143,0.705920140823792,0.018779168923509997,0.061640184628607764,1.5828057507734072
5,B4_hierarchical_residual_pmf,residual_pmf,496,0.07060162731986507,1.634912897994708,0.06852233216008316,0.7060162731986506,0.026816900730039808,0.19249105629559793,1.5604851231666301
5,K0_B4_identity,calibration,496,0.07060162731986507,1.634912897994708,0.06852233216008316,0.7060162731986506,0.026816900730039808,0.19249105629559793,1.5604851231666301
5,K2_B4_monotone_cdf_projected,calibration,496,0.07060162731986507,1.634912897994712,0.06852233216008316,0.7060162731986506,0.026816900730039808,0.19249105629559793,1.5604851231666304
5,B3_forecast_level_residual_pmf,residual_pmf,496,0.07069987839305718,1.6325269906708322,0.06826657651250324,0.7069987839305719,0.06886841090474122,0.1781722263473869,1.4990457392419765
5,B2_month_residual_pmf,residual_pmf,496,0.07076231001253411,1.6399576505729938,0.06868464900509055,0.7076231001253411,0.03731481977631319,0.05953637593929251,1.5936292922307302
5,P2_student_t_mos,mos,496,0.07087955553959005,1.6312215325487567,0.06873421643623427,0.7087955553959007,0.04284493182017851,0.14216342075203992,1.6211872742128857
5,P1_normal_mos,mos,496,0.07097863752028975,1.6398958646195092,0.06881116842139025,0.7097863752028978,0.05153495280842518,0.10011855460612995,1.5553443605127109
5,B1_global_residual_pmf,residual_pmf,496,0.07126138160521464,1.6449223005212217,0.0687314069067697,0.7126138160521465,0.04406290873210362,0.15576569045484612,1.5367389155636788
5,C1_multinomial_ridge,direct_classifier,496,0.07235552335983456,1.6480881053419116,0.06947376406444793,0.7235552335983457,0.03718442342381736,0.12840653400362612,1.575282277619324
5,C2_ordinal_cdf_logistic,direct_classifier,496,0.07357718478799041,1.6706505440408368,0.07043731589623192,0.735771847879904,0.07543026868114197,0.21752758959521512,1.612437716293728
5,B6_month_climatology_diagnostic,diagnostic,496,0.15707036207109742,2.4987702000538894,0.0823225036827728,1.5707036207109741,0.05416495543639077,0.07080019379946789,2.155561352022767
5,B0_climatology,baseline,496,0.19435591590561818,2.5818920961090353,0.09163440921745865,1.9435591590561816,0.3165190369377288,0.33811964040690645,2.0101791709446597
6,B1_global_residual_pmf,residual_pmf,450,0.05715939020545036,1.4681750664834958,0.06604330913992655,0.5715939020545037,0.047173861200381716,0.5618580216380071,1.5649680976305154
6,B3_forecast_level_residual_pmf,residual_pmf,450,0.05722637250193369,1.4591196542428744,0.06625653935939457,0.5722637250193369,0.018116822690455375,0.02589375295395524,1.4501009847811408
6,B4_hierarchical_residual_pmf,residual_pmf,450,0.057263010238011045,1.4672578987941562,0.06601187902116713,0.5726301023801104,0.026415467426668327,0.1327508672307327,1.4833830070890357
6,K0_B4_identity,calibration,450,0.057263010238011045,1.4672578987941562,0.06601187902116713,0.5726301023801104,0.026415467426668327,0.1327508672307327,1.4833830070890357
6,K2_B4_monotone_cdf_projected,calibration,450,0.057263010238011045,1.4672578987941565,0.06601187902116715,0.5726301023801105,0.026415467426668327,0.1327508672307327,1.4833830070890355
6,S1_conservative_simplex_stack,stack,450,0.05726795036961003,1.460624365668151,0.0659981066451158,0.5726795036961003,0.018218164053752692,0.42965415657710454,1.5048505930740521
