target_year,target_month,cutoff_profile,rows
2015,5,t_minus_1_1800_hkt,30
2015,5,t_minus_1_2100_hkt,31
2015,5,t_minus_1_2359_hkt,31
2015,6,t_minus_1_1800_hkt,28
2015,6,t_minus_1_2100_hkt,30
2015,6,t_minus_1_2359_hkt,30
2015,7,t_minus_1_1800_hkt,31
2015,7,t_minus_1_2100_hkt,31
2015,7,t_minus_1_2359_hkt,31
2015,8,t_minus_1_1800_hkt,25
2015,8,t_minus_1_2100_hkt,25
2015,8,t_minus_1_2359_hkt,31
2015,9,t_minus_1_1800_hkt,30
2015,9,t_minus_1_2100_hkt,30
2015,9,t_minus_1_2359_hkt,30
2015,10,t_minus_1_1800_hkt,25
2015,10,t_minus_1_2100_hkt,25
2015,10,t_minus_1_2359_hkt,31
2015,11,t_minus_1_1800_hkt,24
2015,11,t_minus_1_2100_hkt,24
2015,11,t_minus_1_2359_hkt,29
2015,12,t_minus_1_1800_hkt,21
2015,12,t_minus_1_2100_hkt,21
2015,12,t_minus_1_2359_hkt,31
2016,1,t_minus_1_1800_hkt,23
2016,1,t_minus_1_2100_hkt,24
2016,1,t_minus_1_2359_hkt,31
2016,2,t_minus_1_1800_hkt,20
2016,2,t_minus_1_2100_hkt,21
2016,2,t_minus_1_2359_hkt,29
2016,3,t_minus_1_1800_hkt,27
2016,3,t_minus_1_2100_hkt,28
2016,3,t_minus_1_2359_hkt,31
2016,4,t_minus_1_1800_hkt,30
2016,4,t_minus_1_2100_hkt,30
2016,4,t_minus_1_2359_hkt,30
2016,5,t_minus_1_1800_hkt,27
2016,5,t_minus_1_2100_hkt,27
2016,5,t_minus_1_2359_hkt,31
2016,6,t_minus_1_1800_hkt,28
2016,6,t_minus_1_2100_hkt,28
2016,6,t_minus_1_2359_hkt,30
2016,7,t_minus_1_1800_hkt,27
2016,7,t_minus_1_2100_hkt,29
2016,7,t_minus_1_2359_hkt,31
2016,8,t_minus_1_1800_hkt,31
2016,8,t_minus_1_2100_hkt,31
2016,8,t_minus_1_2359_hkt,31
2016,9,t_minus_1_1800_hkt,29
