bucket,one_vs_rest_brier,validation_split,method
26,0.03635368575443949,fold2,B3_forecast_level_residual_pmf
27,0.03351195651961454,fold2,B3_forecast_level_residual_pmf
28,0.05267913264139978,fold2,B3_forecast_level_residual_pmf
29,0.0555226908454158,fold2,B3_forecast_level_residual_pmf
30,0.056814638907537275,fold2,B3_forecast_level_residual_pmf
31,0.06058752604223126,fold2,B3_forecast_level_residual_pmf
32,0.0660817333259328,fold2,B3_forecast_level_residual_pmf
33,0.04287597145697612,fold2,B3_forecast_level_residual_pmf
34_or_higher,0.019706077703599452,fold2,B3_forecast_level_residual_pmf
24_or_below,0.029687928119773208,fold2,B4_hierarchical_residual_pmf
25,0.030442195955661895,fold2,B4_hierarchical_residual_pmf
26,0.03606576335521625,fold2,B4_hierarchical_residual_pmf
27,0.034937686675977624,fold2,B4_hierarchical_residual_pmf
28,0.051829143925474275,fold2,B4_hierarchical_residual_pmf
29,0.05537715138048582,fold2,B4_hierarchical_residual_pmf
30,0.05684426406071795,fold2,B4_hierarchical_residual_pmf
31,0.06099990100256083,fold2,B4_hierarchical_residual_pmf
32,0.06590768898593695,fold2,B4_hierarchical_residual_pmf
33,0.04205678672586736,fold2,B4_hierarchical_residual_pmf
34_or_higher,0.01976819026545781,fold2,B4_hierarchical_residual_pmf
24_or_below,0.029276010683295203,fold2,B5_kernel_analog_pmf
25,0.030251245194511812,fold2,B5_kernel_analog_pmf
26,0.03598606326237682,fold2,B5_kernel_analog_pmf
27,0.03445154664196441,fold2,B5_kernel_analog_pmf
28,0.05159803572619929,fold2,B5_kernel_analog_pmf
29,0.05476890691356386,fold2,B5_kernel_analog_pmf
30,0.05694772373444692,fold2,B5_kernel_analog_pmf
31,0.060465098735134656,fold2,B5_kernel_analog_pmf
32,0.06579715228470752,fold2,B5_kernel_analog_pmf
33,0.04289024460153686,fold2,B5_kernel_analog_pmf
34_or_higher,0.01967215563206709,fold2,B5_kernel_analog_pmf
24_or_below,0.06836100199724901,fold2,B6_month_climatology_diagnostic
25,0.03563460811274455,fold2,B6_month_climatology_diagnostic
26,0.0422350120820321,fold2,B6_month_climatology_diagnostic
27,0.037127204871817636,fold2,B6_month_climatology_diagnostic
28,0.05995258858176253,fold2,B6_month_climatology_diagnostic
29,0.06170783748916448,fold2,B6_month_climatology_diagnostic
30,0.06508660689579064,fold2,B6_month_climatology_diagnostic
31,0.0670156734357097,fold2,B6_month_climatology_diagnostic
32,0.07837694659565914,fold2,B6_month_climatology_diagnostic
33,0.052443886088130144,fold2,B6_month_climatology_diagnostic
34_or_higher,0.026341941263948763,fold2,B6_month_climatology_diagnostic
24_or_below,0.030540536017082086,fold2,P1_normal_mos
25,0.03078958005504244,fold2,P1_normal_mos
26,0.03601734757017373,fold2,P1_normal_mos
27,0.0337368557772014,fold2,P1_normal_mos
28,0.052753524977870704,fold2,P1_normal_mos
29,0.054843212525257104,fold2,P1_normal_mos
30,0.057656087924978894,fold2,P1_normal_mos
31,0.06161560414800644,fold2,P1_normal_mos
32,0.06810355433646308,fold2,P1_normal_mos
33,0.04407579791807167,fold2,P1_normal_mos
34_or_higher,0.019309340515487997,fold2,P1_normal_mos
24_or_below,0.030446832364926655,fold2,P2_student_t_mos
25,0.030784081392305786,fold2,P2_student_t_mos
26,0.036020828275145016,fold2,P2_student_t_mos
27,0.033611673331587856,fold2,P2_student_t_mos
28,0.05278562107457417,fold2,P2_student_t_mos
29,0.054890282419435214,fold2,P2_student_t_mos
30,0.05762627657155805,fold2,P2_student_t_mos
31,0.061563590811895476,fold2,P2_student_t_mos
32,0.06848677658388577,fold2,P2_student_t_mos
33,0.04429698980299219,fold2,P2_student_t_mos
34_or_higher,0.019472941382881154,fold2,P2_student_t_mos
24_or_below,0.03081263085698887,fold2,C1_multinomial_ridge
25,0.030912899481276932,fold2,C1_multinomial_ridge
26,0.036434376523384646,fold2,C1_multinomial_ridge
27,0.034376245758234544,fold2,C1_multinomial_ridge
28,0.05315462302548595,fold2,C1_multinomial_ridge
29,0.05555874050743204,fold2,C1_multinomial_ridge
30,0.05742547992059089,fold2,C1_multinomial_ridge
31,0.06190269539085264,fold2,C1_multinomial_ridge
32,0.06872762265115526,fold2,C1_multinomial_ridge
33,0.04359996613899375,fold2,C1_multinomial_ridge
34_or_higher,0.024219649811903877,fold2,C1_multinomial_ridge
24_or_below,0.030933597692563094,fold2,C2_ordinal_cdf_logistic
25,0.030576017711557858,fold2,C2_ordinal_cdf_logistic
26,0.036318236770534584,fold2,C2_ordinal_cdf_logistic
27,0.03433252899297686,fold2,C2_ordinal_cdf_logistic
28,0.05332225912212873,fold2,C2_ordinal_cdf_logistic
29,0.05520990889876018,fold2,C2_ordinal_cdf_logistic
30,0.057384179628194316,fold2,C2_ordinal_cdf_logistic
31,0.061760631195041105,fold2,C2_ordinal_cdf_logistic
32,0.06986676920220193,fold2,C2_ordinal_cdf_logistic
33,0.044354658686872675,fold2,C2_ordinal_cdf_logistic
34_or_higher,0.02461160305280502,fold2,C2_ordinal_cdf_logistic
24_or_below,0.029687928119773208,fold2,K0_B4_identity
25,0.030442195955661895,fold2,K0_B4_identity
26,0.03606576335521625,fold2,K0_B4_identity
27,0.034937686675977624,fold2,K0_B4_identity
28,0.051829143925474275,fold2,K0_B4_identity
29,0.05537715138048582,fold2,K0_B4_identity
30,0.05684426406071795,fold2,K0_B4_identity
31,0.06099990100256083,fold2,K0_B4_identity
32,0.06590768898593695,fold2,K0_B4_identity
33,0.04205678672586736,fold2,K0_B4_identity
34_or_higher,0.01976819026545781,fold2,K0_B4_identity
24_or_below,0.029619473268398946,fold2,K1_B4_power_calibrated
25,0.030410291017770354,fold2,K1_B4_power_calibrated
26,0.03603769862474413,fold2,K1_B4_power_calibrated
27,0.03485099699913774,fold2,K1_B4_power_calibrated
28,0.05180058430037122,fold2,K1_B4_power_calibrated
29,0.055257989768891555,fold2,K1_B4_power_calibrated
30,0.05687654689893024,fold2,K1_B4_power_calibrated
31,0.061014627368625826,fold2,K1_B4_power_calibrated
32,0.06601904694236074,fold2,K1_B4_power_calibrated
33,0.04214360775734029,fold2,K1_B4_power_calibrated
34_or_higher,0.019717106957472325,fold2,K1_B4_power_calibrated
24_or_below,0.029687928119773208,fold2,K2_B4_monotone_cdf_projected
25,0.030442195955661895,fold2,K2_B4_monotone_cdf_projected
26,0.03606576335521625,fold2,K2_B4_monotone_cdf_projected
27,0.034937686675977624,fold2,K2_B4_monotone_cdf_projected
28,0.051829143925474275,fold2,K2_B4_monotone_cdf_projected
29,0.05537715138048582,fold2,K2_B4_monotone_cdf_projected
30,0.05684426406071795,fold2,K2_B4_monotone_cdf_projected
31,0.06099990100256083,fold2,K2_B4_monotone_cdf_projected
32,0.06590768898593695,fold2,K2_B4_monotone_cdf_projected
33,0.04205678672586736,fold2,K2_B4_monotone_cdf_projected
34_or_higher,0.019768190265457806,fold2,K2_B4_monotone_cdf_projected
24_or_below,0.029698115227548772,fold2,S1_conservative_simplex_stack
25,0.030435945936210167,fold2,S1_conservative_simplex_stack
