validation_split,method,coverage90,mean_width90_buckets
fold3__t_minus_1_1800_hkt,K1_B4_power_calibrated,0.9668008048289738,3.632796780684105
fold3__t_minus_1_1800_hkt,K2_B4_monotone_cdf_projected,0.9627766599597586,3.5603621730382295
fold3__t_minus_1_1800_hkt,S1_conservative_simplex_stack,0.9647887323943662,3.567404426559356
fold4__t_minus_1_1800_hkt,B0_climatology,0.9528023598820059,10.0
fold4__t_minus_1_1800_hkt,B1_global_residual_pmf,0.9631268436578171,3.700589970501475
fold4__t_minus_1_1800_hkt,B2_month_residual_pmf,0.9513274336283186,3.5368731563421827
fold4__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.948377581120944,3.6150442477876106
fold4__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.9542772861356932,3.5855457227138645
fold4__t_minus_1_1800_hkt,B5_kernel_analog_pmf,0.9498525073746312,3.505899705014749
fold4__t_minus_1_1800_hkt,B6_month_climatology_diagnostic,0.8864306784660767,5.480825958702065
fold4__t_minus_1_1800_hkt,P1_normal_mos,0.9808259587020649,4.088495575221239
fold4__t_minus_1_1800_hkt,P2_student_t_mos,0.9882005899705014,4.294985250737463
fold4__t_minus_1_1800_hkt,C1_multinomial_ridge,0.9734513274336283,3.8761061946902653
fold4__t_minus_1_1800_hkt,C2_ordinal_cdf_logistic,0.976401179941003,4.011799410029498
fold4__t_minus_1_1800_hkt,K0_B4_identity,0.9542772861356932,3.5855457227138645
fold4__t_minus_1_1800_hkt,K1_B4_power_calibrated,0.967551622418879,3.734513274336283
fold4__t_minus_1_1800_hkt,K2_B4_monotone_cdf_projected,0.9542772861356932,3.5855457227138645
fold4__t_minus_1_1800_hkt,S1_conservative_simplex_stack,0.9557522123893806,3.6283185840707963
presealed_2022_2023__t_minus_1_1800_hkt,B0_climatology,0.9260935143288085,10.0
presealed_2022_2023__t_minus_1_1800_hkt,B1_global_residual_pmf,0.9819004524886877,3.5822021116138765
presealed_2022_2023__t_minus_1_1800_hkt,B2_month_residual_pmf,0.9683257918552036,3.4358974358974357
presealed_2022_2023__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.971342383107089,3.555052790346908
presealed_2022_2023__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.9728506787330317,3.4947209653092006
presealed_2022_2023__t_minus_1_1800_hkt,B5_kernel_analog_pmf,0.9788838612368024,3.4856711915535445
presealed_2022_2023__t_minus_1_1800_hkt,B6_month_climatology_diagnostic,0.9276018099547512,5.535444947209653
presealed_2022_2023__t_minus_1_1800_hkt,P1_normal_mos,0.9894419306184012,3.9291101055806936
presealed_2022_2023__t_minus_1_1800_hkt,P2_student_t_mos,0.995475113122172,4.167420814479638
presealed_2022_2023__t_minus_1_1800_hkt,C1_multinomial_ridge,0.9849170437405732,3.766214177978884
presealed_2022_2023__t_minus_1_1800_hkt,C2_ordinal_cdf_logistic,0.9879336349924586,3.936651583710407
presealed_2022_2023__t_minus_1_1800_hkt,K0_B4_identity,0.9728506787330317,3.4947209653092006
presealed_2022_2023__t_minus_1_1800_hkt,K1_B4_power_calibrated,0.975867269984917,3.5641025641025643
presealed_2022_2023__t_minus_1_1800_hkt,K2_B4_monotone_cdf_projected,0.9728506787330317,3.4947209653092006
presealed_2022_2023__t_minus_1_1800_hkt,S1_conservative_simplex_stack,0.9743589743589743,3.4871794871794872
sealed_2024_2026_05__t_minus_1_1800_hkt,B0_climatology,0.9502617801047121,10.0
sealed_2024_2026_05__t_minus_1_1800_hkt,B1_global_residual_pmf,0.9672774869109948,3.634816753926702
sealed_2024_2026_05__t_minus_1_1800_hkt,B2_month_residual_pmf,0.9698952879581152,3.6178010471204187
sealed_2024_2026_05__t_minus_1_1800_hkt,B3_forecast_level_residual_pmf,0.9777486910994765,3.6531413612565444
sealed_2024_2026_05__t_minus_1_1800_hkt,B4_hierarchical_residual_pmf,0.9764397905759162,3.655759162303665
sealed_2024_2026_05__t_minus_1_1800_hkt,B5_kernel_analog_pmf,0.9764397905759162,3.569371727748691
sealed_2024_2026_05__t_minus_1_1800_hkt,B6_month_climatology_diagnostic,0.9083769633507853,5.603403141361256
sealed_2024_2026_05__t_minus_1_1800_hkt,P1_normal_mos,0.9777486910994765,3.946335078534031
sealed_2024_2026_05__t_minus_1_1800_hkt,P2_student_t_mos,0.9947643979057592,4.227748691099476
sealed_2024_2026_05__t_minus_1_1800_hkt,C1_multinomial_ridge,0.9790575916230366,3.756544502617801
sealed_2024_2026_05__t_minus_1_1800_hkt,C2_ordinal_cdf_logistic,0.9842931937172775,3.9764397905759163
sealed_2024_2026_05__t_minus_1_1800_hkt,K0_B4_identity,0.9764397905759162,3.655759162303665
sealed_2024_2026_05__t_minus_1_1800_hkt,K1_B4_power_calibrated,0.9790575916230366,3.6976439790575917
sealed_2024_2026_05__t_minus_1_1800_hkt,K2_B4_monotone_cdf_projected,0.9764397905759162,3.655759162303665
sealed_2024_2026_05__t_minus_1_1800_hkt,S1_conservative_simplex_stack,0.975130890052356,3.647905759162304
fold1__t_minus_1_2100_hkt,B0_climatology,0.9455095862764884,9.0
fold1__t_minus_1_2100_hkt,B1_global_residual_pmf,0.9606458123107972,3.5610494450050454
fold1__t_minus_1_2100_hkt,B2_month_residual_pmf,0.9687184661957619,3.564076690211907
fold1__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.9656912209889001,3.484359233097881
fold1__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.9646821392532795,3.4904137235116046
fold1__t_minus_1_2100_hkt,B5_kernel_analog_pmf,0.9656912209889001,3.389505549949546
fold1__t_minus_1_2100_hkt,B6_month_climatology_diagnostic,0.9495459132189707,5.335015136226034
fold1__t_minus_1_2100_hkt,P1_normal_mos,0.9808274470232089,3.917255297679112
fold1__t_minus_1_2100_hkt,P2_student_t_mos,0.9889001009081736,4.101917255297679
fold1__t_minus_1_2100_hkt,C1_multinomial_ridge,0.9818365287588294,3.801210898082745
fold1__t_minus_1_2100_hkt,C2_ordinal_cdf_logistic,0.9858728557013118,3.958627648839556
fold1__t_minus_1_2100_hkt,K0_B4_identity,0.9646821392532795,3.4904137235116046
fold1__t_minus_1_2100_hkt,K1_B4_power_calibrated,0.9687184661957619,3.572149344096872
