experiment_folder,file_count,total_bytes,read_pass_count,parse_pass_count,extensions_json
0182_hf_radiative_proxy,50,846178,50,50,"{"".csv"": 22, "".json"": 4, "".md"": 14, "".parquet"": 4, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0183_hf_teacher_long_history_distillation,52,329866,52,52,"{"".csv"": 21, "".json"": 4, "".md"": 16, "".parquet"": 5, "".py"": 1, "".yaml"": 4, ""[none]"": 1}"
0184_hf_teacher_proxy_causal_memory_router,21,299357,21,21,"{"".csv"": 10, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1, "".txt"": 1}"
0185_lag7_online_residual_memory_router,19,294742,19,19,"{"".csv"": 9, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0186_lag7_memory_monthly_noharm_gate,19,299966,19,19,"{"".csv"": 9, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0187_deployable_isd_memory_residual_fusion,21,420787,21,21,"{"".csv"": 10, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1, "".txt"": 1}"
0188_nested_expert_router_0185_0187,19,338125,19,19,"{"".csv"": 9, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0189_t7_online_expert_weighting,20,599122,20,20,"{"".csv"": 10, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0190_t7_post_ensemble_residual_calibration,20,404043,20,20,"{"".csv"": 10, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0191_t7_sign_asymmetric_residual_calibration,20,466041,20,20,"{"".csv"": 10, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0192_t7_tail_risk_trust_governor,20,510293,20,20,"{"".csv"": 10, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0193_source_era_residual_bridge,20,467178,20,20,"{"".csv"": 10, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0194_isd_role_compressed_regime_proxy,22,580987,22,22,"{"".csv"": 11, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1, "".txt"": 1}"
0195_june_warm_season_noharm_governor,20,573631,20,20,"{"".csv"": 10, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0196_station_network_tail_conditioned_residual_expert,22,571278,22,22,"{"".csv"": 11, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1, "".txt"": 1}"
0197_correction_saturation_trust_governor,20,573729,20,20,"{"".csv"": 10, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0198_source_era_online_expert_router,20,515542,20,20,"{"".csv"": 10, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0199_station_role_feature_family_replay,22,569048,22,22,"{"".csv"": 11, "".json"": 4, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0200_climatological_analogue_blend,20,392288,20,20,"{"".csv"": 10, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0201_independent_feature_group_stacked_router,23,3178862,23,23,"{"".csv"": 12, "".json"": 4, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0202_operational_nwp_backfill_requirement_study,14,51666,14,14,"{"".csv"": 4, "".json"": 3, "".md"": 6, "".py"": 1}"
0203_july_october_micro_no_harm_governor,21,356676,21,21,"{"".csv"": 11, "".json"": 3, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0204_external_forecast_vintage_acquisition_plan,16,40214,16,16,"{"".csv"": 6, "".json"": 3, "".md"": 6, "".py"": 1}"
0205_t7_mature_synoptic_trajectory_residual,22,359868,22,22,"{"".csv"": 11, "".json"": 4, "".md"": 5, "".parquet"": 1, "".py"": 1}"
0206_audit_driven_database_ingestion,23,1116056,23,23,"{"".csv"": 9, "".json"": 3, "".log"": 1, "".md"": 10}"
hko_official_backfill_monitor,9,453617,9,9,"{"".csv"": 8, "".json"": 1}"
