source,member,issued_at_utc,valid_at_utc,lead_hour,latitude,longitude,variable,canonical_variable,friendly_name,grib_short_name,grib_name,grib_type_of_level,grib_level,grib_step_type,native_units,value_native,normalized_units,value_normalized
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,21.5,114.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,1.136077880859375,m_s-1,1.136077880859375
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,21.5,114.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.5360778570175171,m_s-1,0.5360778570175171
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,21.5,114.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.363922119140625,m_s-1,-0.363922119140625
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,21.5,114.75,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.06392212212085724,m_s-1,-0.06392212212085724
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,21.5,115.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.636077880859375,m_s-1,0.636077880859375
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,21.5,115.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,1.136077880859375,m_s-1,1.136077880859375
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,21.5,115.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,1.136077880859375,m_s-1,1.136077880859375
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.5,113.0,v10,wind_v_10m,10m V wind component,10v,10 metre V wind component,heightAboveGround,,instant,m s**-1,0.21776123344898224,m_s-1,0.21776123344898224
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.5,113.25,v10,wind_v_10m,10m V wind component,10v,10 metre V wind component,heightAboveGround,,instant,m s**-1,1.117761254310608,m_s-1,1.117761254310608
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.5,113.5,v10,wind_v_10m,10m V wind component,10v,10 metre V wind component,heightAboveGround,,instant,m s**-1,1.117761254310608,m_s-1,1.117761254310608
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.5,113.75,v10,wind_v_10m,10m V wind component,10v,10 metre V wind component,heightAboveGround,,instant,m s**-1,0.31776124238967896,m_s-1,0.31776124238967896
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.5,114.0,v10,wind_v_10m,10m V wind component,10v,10 metre V wind component,heightAboveGround,,instant,m s**-1,-0.48223876953125,m_s-1,-0.48223876953125
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.5,114.25,v10,wind_v_10m,10m V wind component,10v,10 metre V wind component,heightAboveGround,,instant,m s**-1,0.01776123046875,m_s-1,0.01776123046875
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.5,114.5,v10,wind_v_10m,10m V wind component,10v,10 metre V wind component,heightAboveGround,,instant,m s**-1,-0.08223877102136612,m_s-1,-0.08223877102136612
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.5,114.75,v10,wind_v_10m,10m V wind component,10v,10 metre V wind component,heightAboveGround,,instant,m s**-1,0.01776123046875,m_s-1,0.01776123046875
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.5,115.0,v10,wind_v_10m,10m V wind component,10v,10 metre V wind component,heightAboveGround,,instant,m s**-1,0.21776123344898224,m_s-1,0.21776123344898224
