bin,lo,hi,count,confidence,accuracy,abs_gap,validation_split,method
7,0.7000000000000001,0.8,27,0.7440318276946718,0.6666666666666666,0.07736516102800517,presealed_2022_2023__t_minus_1_2100_hkt,B2_month_residual_pmf
8,0.8,0.9,30,0.8673076011801178,0.9,0.032692398819882174,presealed_2022_2023__t_minus_1_2100_hkt,B2_month_residual_pmf
9,0.9,1.0,158,0.9913732925736759,1.0,0.008626707426324098,presealed_2022_2023__t_minus_1_2100_hkt,B2_month_residual_pmf
0,0.0,0.1,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf
1,0.1,0.2,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf
2,0.2,0.30000000000000004,42,0.2972285081542909,0.2857142857142857,0.011514222440005217,presealed_2022_2023__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf
3,0.30000000000000004,0.4,272,0.3296167360299761,0.34191176470588236,0.012295028675906261,presealed_2022_2023__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf
4,0.4,0.5,131,0.4294861743826309,0.4961832061068702,0.0666970317242393,presealed_2022_2023__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf
5,0.5,0.6000000000000001,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf
6,0.6000000000000001,0.7000000000000001,34,0.6516184921526195,0.6764705882352942,0.02485209608267469,presealed_2022_2023__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf
7,0.7000000000000001,0.8,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf
8,0.8,0.9,13,0.8008292757672356,0.8461538461538461,0.04532457038661053,presealed_2022_2023__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf
9,0.9,1.0,175,0.9799156910113221,0.9942857142857143,0.014370023274392185,presealed_2022_2023__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf
0,0.0,0.1,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf
1,0.1,0.2,0,,,,presealed_2022_2023__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf
2,0.2,0.30000000000000004,86,0.26973761110372046,0.2558139534883721,0.013923657615348362,presealed_2022_2023__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf
3,0.30000000000000004,0.4,219,0.35260243769555194,0.3333333333333333,0.019269104362218625,presealed_2022_2023__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf
4,0.4,0.5,129,0.4273570716297423,0.4418604651162791,0.014503393486536786,presealed_2022_2023__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf
