validation_split,method,mean_max_probability,mean_entropy
fold1__t_minus_1_2100_hkt,K1_B4_power_calibrated,0.5522239089697931,1.0627803259737638
fold1__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected,0.5588431559443887,1.0441080210363298
fold1__t_minus_1_2100_hkt,S1_conservative_simplex_stack,0.5559090040526771,1.0548841155669468
fold2__t_minus_1_2100_hkt,B0_climatology,0.3620410983647074,2.050281845205248
fold2__t_minus_1_2100_hkt,B1_global_residual_pmf,0.5471888853263494,1.0914714898957372
fold2__t_minus_1_2100_hkt,B2_month_residual_pmf,0.5497797511101871,1.066843717763512
fold2__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.56081925453666,1.043241843499424
fold2__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.5621041221895553,1.0371857126599422
fold2__t_minus_1_2100_hkt,B5_kernel_analog_pmf,0.5661814444712199,1.0176132123150698
fold2__t_minus_1_2100_hkt,B6_month_climatology_diagnostic,0.4834310148428135,1.428930115276886
fold2__t_minus_1_2100_hkt,P1_normal_mos,0.5294364990797722,1.1032313582064268
fold2__t_minus_1_2100_hkt,P2_student_t_mos,0.523669296206003,1.1510351040944409
fold2__t_minus_1_2100_hkt,C1_multinomial_ridge,0.5482509181806917,1.101811655287534
fold2__t_minus_1_2100_hkt,C2_ordinal_cdf_logistic,0.5523623919609897,1.131368423440696
fold2__t_minus_1_2100_hkt,K0_B4_identity,0.5621041221895553,1.0371857126599422
fold2__t_minus_1_2100_hkt,K1_B4_power_calibrated,0.5553027166710213,1.0559267391202092
fold2__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected,0.5621041221895552,1.037185712659943
fold2__t_minus_1_2100_hkt,S1_conservative_simplex_stack,0.5551607261140817,1.0842887174050513
fold3__t_minus_1_2100_hkt,B0_climatology,0.36134137095426616,2.0634658490140625
fold3__t_minus_1_2100_hkt,B1_global_residual_pmf,0.5367717862711499,1.122227376164324
fold3__t_minus_1_2100_hkt,B2_month_residual_pmf,0.5375418670117253,1.1096913380950437
fold3__t_minus_1_2100_hkt,B3_forecast_level_residual_pmf,0.5430147968523729,1.087050294545121
fold3__t_minus_1_2100_hkt,B4_hierarchical_residual_pmf,0.546194336696518,1.0820120595603022
fold3__t_minus_1_2100_hkt,B5_kernel_analog_pmf,0.5483937548474979,1.0581104422595509
fold3__t_minus_1_2100_hkt,B6_month_climatology_diagnostic,0.482903743990274,1.4235039055351557
fold3__t_minus_1_2100_hkt,P1_normal_mos,0.5182913623539638,1.1327039173108144
fold3__t_minus_1_2100_hkt,P2_student_t_mos,0.5121239438656504,1.1833053361631172
fold3__t_minus_1_2100_hkt,C1_multinomial_ridge,0.5344525482542234,1.1424686008544376
fold3__t_minus_1_2100_hkt,C2_ordinal_cdf_logistic,0.5384102797448264,1.172726028923515
fold3__t_minus_1_2100_hkt,K0_B4_identity,0.546194336696518,1.0820120595603022
fold3__t_minus_1_2100_hkt,K1_B4_power_calibrated,0.538606545440387,1.102662348761788
fold3__t_minus_1_2100_hkt,K2_B4_monotone_cdf_projected,0.546194336696518,1.082012059560303
fold3__t_minus_1_2100_hkt,S1_conservative_simplex_stack,0.5433916157607173,1.092408370713621
fold4__t_minus_1_2100_hkt,B0_climatology,0.3577197144996172,2.078262627703701
