method,family,split,row_count,rps,rps_delta_vs_b4,relative_rps_gain_vs_b4,nll,brier,crps,ece,mce,entropy
C1_multinomial_ridge,direct_classifier,fold3,1095,0.042372601493708896,0.0011774991502211465,-0.02858347432670693,1.065879614496918,0.047279259727685576,0.42372601493708895,0.023954810651928834,0.23599439620464013,1.106981681335237
C2_ordinal_cdf_logistic,direct_classifier,fold3,1095,0.04301773532134202,0.0018226329778542674,-0.04424392401448652,1.080526023334594,0.0476996222753542,0.43017735321342015,0.03497322878641346,0.27182330963754703,1.1336768920341895
B6_month_climatology_diagnostic,diagnostic,fold3,1095,0.08603280212216592,0.04483769977867817,-1.0884230704130355,1.619499250309274,0.05901115225644032,0.8603280212216593,0.0686012419187262,0.18283245392674163,1.3610968203278206
B0_climatology,baseline,fold3,1095,0.19114271836243527,0.14994761601894752,-3.639937941376463,2.1288427835687656,0.07551503127253541,1.911427183624353,0.04232051119512392,0.04232051119512392,2.0002192960857728
S1_conservative_simplex_stack,stack,fold4,731,0.043798271569675286,-4.0476037243629415e-05,0.0009232936489554556,1.1042667699120199,0.04898137750685662,0.43798271569675284,0.023409570395244734,0.10585749266806166,1.0660951341991183
B4_hierarchical_residual_pmf,residual_pmf,fold4,731,0.043838747606918915,0.0,0.0,1.1127438159478817,0.04904221973798374,0.4383874760691892,0.035647614913595436,0.11880698914243204,1.0562548259072508
K0_B4_identity,calibration,fold4,731,0.043838747606918915,0.0,0.0,1.1127438159478817,0.04904221973798374,0.4383874760691892,0.035647614913595436,0.11880698914243204,1.0562548259072508
K2_B4_monotone_cdf_projected,calibration,fold4,731,0.043838747606918915,0.0,0.0,1.1127438159478846,0.04904221973798374,0.4383874760691892,0.035647614913595436,0.11880698914243204,1.0562548259072513
K1_B4_power_calibrated,calibration,fold4,731,0.04385825986875214,1.9512261833228017e-05,-0.0004450916802684497,1.1104790705843457,0.04900775833875189,0.4385825986875216,0.025231346958585123,0.09882974954656099,1.0784274980093114
B5_kernel_analog_pmf,analog_pmf,fold4,731,0.04387809450845882,3.934690153990783e-05,-0.0008975370805003985,1.1449425870942054,0.048836684427129615,0.4387809450845883,0.01642662370299621,0.13634154445620172,1.02982966391611
B1_global_residual_pmf,residual_pmf,fold4,731,0.04410050054510354,0.00026175293818462425,-0.005970812408503037,1.1077159542701636,0.0492937156605523,0.44100500545103527,0.03913749220989142,0.14733678518141147,1.0909885504420282
B3_forecast_level_residual_pmf,residual_pmf,fold4,731,0.04417832253142673,0.0003395749245078128,-0.007745999670260171,1.1142116156689894,0.049031958953005716,0.44178322531426717,0.013344226716539141,0.09970335039602318,1.0659155895727739
B2_month_residual_pmf,residual_pmf,fold4,731,0.04419979789621411,0.0003610502892951936,-0.008235871438038306,1.1178354280996383,0.04924812314715449,0.4419979789621412,0.033984420204501584,0.14571644312226106,1.0906094894437515
